Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
18/04/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-344316-UPI,00005874800059555,18/04/26,551.0,,29739.00
18/04/26,UPI-VI PREPAID RECHARGE-VI.RECHARGE@PTYBL-YESB0PTMUPI-666456-UPI,00002933484742631,18/04/26,1187.0,,28552.00
18/04/26,UPI-AMAZON PAY INDIA-AMAZON.PAY@AXISBANK-UTIB0000004-475644-UPI,00001276268494809,18/04/26,854.0,,27698.00
19/04/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-651640-UPI,00009375459206885,19/04/26,513.0,,27185.00
20/04/26,UPI-NETFLIX ENTERTAINMENT-NETFLIX.BILL@OKHDFC-HDFC0000007-332311-UPI,00006306524226483,20/04/26,625.0,,26560.00
20/04/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-602248-UPI,00008068860321467,20/04/26,106.0,,26454.00
21/04/26,UPI-BIG BASKET-BIGBASKET.EBZ@HDFCBANK-HDFC0000006-565108-UPI,00006665408855900,21/04/26,3292.0,,23162.00
21/04/26,UPI-AMAZON PAY INDIA-AMAZON.PAY@AXISBANK-UTIB0000004-754644-UPI,00007701545642610,21/04/26,830.0,,22332.00
22/04/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-551096-UPI,00003013058814176,22/04/26,292.0,,22040.00
22/04/26,UPI-VI PREPAID RECHARGE-VI.RECHARGE@PTYBL-YESB0PTMUPI-339592-UPI,00006963191922609,22/04/26,602.0,,21438.00
22/04/26,UPI-APPLE SERVICES-APPLESERVICES.BDSI@HDFCBANK-HDFC0000009-199704-UPI,00008508945218357,22/04/26,587.0,,20851.00
23/04/26,UPI-MYNTRA DESIGNS-MYNTRA.PAY@YBL-YESB0PTMUPI-820184-UPI,00009344790679381,23/04/26,4305.0,,16546.00
28/04/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-683397-UPI,00006800618261354,28/04/26,550.0,,15996.00
28/04/26,UPI-BIG BASKET-BIGBASKET.EBZ@HDFCBANK-HDFC0000006-797660-UPI,00007186094864049,28/04/26,1785.0,,14211.00
30/04/26,UPI-OLA CABS-OLACABS.PAY@ICICI-ICIC0000002-335137-UPI,00002906309529903,30/04/26,356.0,,13855.00
30/04/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-392099-UPI,00004979605456852,30/04/26,128.0,,13727.00
30/04/26,UPI-NETFLIX ENTERTAINMENT-NETFLIX.BILL@OKHDFC-HDFC0000007-789786-UPI,00001507954820162,30/04/26,789.0,,12938.00
01/05/26,NEFT CR-UTIB0SF0001-BRIGHTWAVE TECH SOLUTIONS PVT LTD-SALARY-386544,00007173327540153,01/05/26,,78000.0,90938.00
02/05/26,UPI-SURESH KUMAR LANDLORD-SURESHK.RENT@OKSBI-SBIN0009999-290217-UPI,00003520586867341,02/05/26,14000.0,,76938.00
02/05/26,UPI-AMAZON PAY INDIA-AMAZON.PAY@AXISBANK-UTIB0000004-763928-UPI,00001541044805550,02/05/26,896.0,,76042.00
02/05/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-575682-UPI,00003767423075734,02/05/26,319.0,,75723.00
02/05/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-695164-UPI,00002492914413340,02/05/26,406.0,,75317.00
03/05/26,UPI-NETFLIX ENTERTAINMENT-NETFLIX.BILL@OKHDFC-HDFC0000007-155164-UPI,00003766627149238,03/05/26,499.0,,74818.00
03/05/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-794093-UPI,00009544511081322,03/05/26,264.0,,74554.00
03/05/26,UPI-BIG BASKET-BIGBASKET.EBZ@HDFCBANK-HDFC0000006-891615-UPI,00003003655270583,03/05/26,1447.0,,73107.00
03/05/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-811444-UPI,00009562417313120,03/05/26,199.0,,72908.00
04/05/26,UPI-AMAZON PAY INDIA-AMAZON.PAY@AXISBANK-UTIB0000004-728437-UPI,00001133379272909,04/05/26,1226.0,,71682.00
04/05/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-901280-UPI,00006090633693692,04/05/26,527.0,,71155.00
04/05/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-551574-UPI,00003272792303024,04/05/26,289.0,,70866.00
05/05/26,UPI-CULT FIT FITNESS-CULTFIT.PAY@YBL-YESB0PTMUPI-498676-UPI,00009801376307494,05/05/26,1200.0,,69666.00
05/05/26,UPI-TATA POWER ELECTRICITY-ELECTRICITY.BILL@SBI-SBIN0000008-878086-UPI,00008670993277488,05/05/26,226.0,,69440.00
05/05/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-703727-UPI,00008347143463689,05/05/26,577.0,,68863.00
05/05/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-440544-UPI,00002547742372041,05/05/26,131.0,,68732.00
06/05/26,UPI-VI PREPAID RECHARGE-VI.RECHARGE@PTYBL-YESB0PTMUPI-519902-UPI,00002385229871313,06/05/26,607.0,,68125.00
06/05/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-332335-UPI,00002340751920861,06/05/26,393.0,,67732.00
07/05/26,UPI-FLIPKART INTERNET-FLIPKART.PAY@ICICI-ICIC0000005-466346-UPI,00005153867698241,07/05/26,4105.0,,63627.00
07/05/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-731661-UPI,00004114174929455,07/05/26,225.0,,63402.00
07/05/26,UPI-AKASH SEHGAL-A.SEHGAL1300@OKHDFC-HDFC0000010-691119-UPI,00006684924033223,07/05/26,1445.0,,61957.00
08/05/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-762055-UPI,00007189289130957,08/05/26,369.0,,61588.00
09/05/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-159653-UPI,00002349852717421,09/05/26,360.0,,61228.00
09/05/26,UPI-AMAZON PAY INDIA-AMAZON.PAY@AXISBANK-UTIB0000004-631699-UPI,00009140614365597,09/05/26,2883.0,,58345.00
09/05/26,UPI-AMAZON PAY INDIA-AMAZON.PAY@AXISBANK-UTIB0000004-949153-UPI,00006652985443891,09/05/26,2189.0,,56156.00
10/05/26,UPI-OLA CABS-OLACABS.PAY@ICICI-ICIC0000002-572407-UPI,00002484831679063,10/05/26,482.0,,55674.00
10/05/26,UPI-OLA CABS-OLACABS.PAY@ICICI-ICIC0000002-841995-UPI,00007400183080825,10/05/26,96.0,,55578.00
10/05/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-912085-UPI,00001921690901595,10/05/26,243.0,,55335.00
11/05/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-505341-UPI,00005433626651454,11/05/26,416.0,,54919.00
12/05/26,UPI-TATA POWER ELECTRICITY-ELECTRICITY.BILL@SBI-SBIN0000008-795847-UPI,00006456110934764,12/05/26,236.0,,54683.00
12/05/26,UPI-AKASH SEHGAL-A.SEHGAL1300@OKHDFC-HDFC0000010-843266-UPI,00002494382340498,12/05/26,474.0,,54209.00
12/05/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-444432-UPI,00003249760497857,12/05/26,350.0,,53859.00
13/05/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-119116-UPI,00006434690974569,13/05/26,389.0,,53470.00
13/05/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-903373-UPI,00004377932812366,13/05/26,301.0,,53169.00
13/05/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-410160-UPI,00009929671404650,13/05/26,202.0,,52967.00
14/05/26,UPI-NETFLIX ENTERTAINMENT-NETFLIX.BILL@OKHDFC-HDFC0000007-903531-UPI,00003304756895610,14/05/26,845.0,,52122.00
14/05/26,UPI-FLIPKART INTERNET-FLIPKART.PAY@ICICI-ICIC0000005-971728-UPI,00003915864704616,14/05/26,981.0,,51141.00
14/05/26,UPI-AMAZON PAY INDIA-AMAZON.PAY@AXISBANK-UTIB0000004-809217-UPI,00005177798808648,14/05/26,2026.0,,49115.00
15/05/26,UPI-BIG BASKET-BIGBASKET.EBZ@HDFCBANK-HDFC0000006-350786-UPI,00004413790817735,15/05/26,1283.0,,47832.00
15/05/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-395459-UPI,00007720670868228,15/05/26,274.0,,47558.00
16/05/26,UPI-OLA CABS-OLACABS.PAY@ICICI-ICIC0000002-940181-UPI,00003433548499274,16/05/26,423.0,,47135.00
16/05/26,UPI-NETFLIX ENTERTAINMENT-NETFLIX.BILL@OKHDFC-HDFC0000007-489244-UPI,00003194089051315,16/05/26,823.0,,46312.00
16/05/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-638289-UPI,00002612491666355,16/05/26,265.0,,46047.00
17/05/26,UPI-TATA POWER ELECTRICITY-ELECTRICITY.BILL@SBI-SBIN0000008-535050-UPI,00007970960658012,17/05/26,1127.0,,44920.00
18/05/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-493124-UPI,00001494885625681,18/05/26,498.0,,44422.00
18/05/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-781533-UPI,00003418693864643,18/05/26,432.0,,43990.00
18/05/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-245534-UPI,00008891869735423,18/05/26,489.0,,43501.00
19/05/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-326130-UPI,00003632106124365,19/05/26,130.0,,43371.00
19/05/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-402096-UPI,00006296715332991,19/05/26,127.0,,43244.00
19/05/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-932463-UPI,00009042853729128,19/05/26,343.0,,42901.00
22/05/26,UPI-AMAZON PAY INDIA-AMAZON.PAY@AXISBANK-UTIB0000004-702980-UPI,00006124512641977,22/05/26,2954.0,,39947.00
22/05/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-536802-UPI,00002506108514766,22/05/26,181.0,,39766.00
22/05/26,NEFT CR-UTIB0SF0002-BRIGHTWAVE TECH SOLUTIONS PVT LTD-BONUS-908634,00009601552428123,22/05/26,,145000.0,184766.00
23/05/26,UPI-PRAKASH DAS VAISHNAV-9950449735@PTYES-BKID0006682-670511-UPI,00009933481859802,23/05/26,2865.0,,181901.00
23/05/26,UPI-BIG BASKET-BIGBASKET.EBZ@HDFCBANK-HDFC0000006-145649-UPI,00007805958382123,23/05/26,3968.0,,177933.00
23/05/26,UPI-MANISH VISHNOI-9119161829@IBL-SBIN0005610-474440-UPI,00002188797641400,23/05/26,2267.0,,175666.00
24/05/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-870899-UPI,00006848700401098,24/05/26,529.0,,175137.00
25/05/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-283594-UPI,00009176263453513,25/05/26,551.0,,174586.00
26/05/26,UPI-FLIPKART INTERNET-FLIPKART.PAY@ICICI-ICIC0000005-913894-UPI,00009052821465982,26/05/26,565.0,,174021.00
26/05/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-309159-UPI,00001738243848362,26/05/26,143.0,,173878.00
27/05/26,UPI-KYBALION NEXUS-7907449178@OKAXIS-UTIB0000011-955015-UPI,00009330273886025,27/05/26,1255.0,,172623.00
28/05/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-918771-UPI,00006839676900044,28/05/26,272.0,,172351.00
29/05/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-519453-UPI,00008738428582380,29/05/26,352.0,,171999.00
30/05/26,UPI-OLA CABS-OLACABS.PAY@ICICI-ICIC0000002-621691-UPI,00002389097648780,30/05/26,288.0,,171711.00
30/05/26,UPI-OLA CABS-OLACABS.PAY@ICICI-ICIC0000002-436814-UPI,00002404894960468,30/05/26,309.0,,171402.00
31/05/26,UPI-MYNTRA DESIGNS-MYNTRA.PAY@YBL-YESB0PTMUPI-852524-UPI,00003930997850479,31/05/26,2173.0,,169229.00
01/06/26,NEFT CR-UTIB0SF0001-BRIGHTWAVE TECH SOLUTIONS PVT LTD-SALARY-468623,00001744949749484,01/06/26,,78300.0,247529.00
01/06/26,UPI-BIG BASKET-BIGBASKET.EBZ@HDFCBANK-HDFC0000006-929924-UPI,00002009093565578,01/06/26,1453.0,,246076.00
02/06/26,UPI-SURESH KUMAR LANDLORD-SURESHK.RENT@OKSBI-SBIN0009999-178686-UPI,00007392655996100,02/06/26,14000.0,,232076.00
02/06/26,UPI-VI PREPAID RECHARGE-VI.RECHARGE@PTYBL-YESB0PTMUPI-249715-UPI,00001611767293985,02/06/26,1150.0,,230926.00
02/06/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-484123-UPI,00007736064145052,02/06/26,533.0,,230393.00
02/06/26,UPI-PRAKASH DAS VAISHNAV-9950449735@PTYES-BKID0006682-812048-UPI,00007542828472248,02/06/26,1855.0,,228538.00
03/06/26,UPI-NETFLIX ENTERTAINMENT-NETFLIX.BILL@OKHDFC-HDFC0000007-565504-UPI,00002351897153802,03/06/26,499.0,,228039.00
03/06/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-781113-UPI,00005390653539963,03/06/26,331.0,,227708.00
03/06/26,UPI-PRAKASH DAS VAISHNAV-9950449735@PTYES-BKID0006682-623285-UPI,00007809746863168,03/06/26,2233.0,,225475.00
03/06/26,UPI-PRAKASH DAS VAISHNAV-9950449735@PTYES-BKID0006682-372933-UPI,00008849929069183,03/06/26,859.0,,224616.00
04/06/26,UPI-MANISH VISHNOI-9119161829@IBL-SBIN0005610-615060-UPI,00003156933342020,04/06/26,2113.0,,222503.00
05/06/26,UPI-CULT FIT FITNESS-CULTFIT.PAY@YBL-YESB0PTMUPI-242321-UPI,00002305037951726,05/06/26,1200.0,,221303.00
05/06/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-949884-UPI,00006109044723209,05/06/26,649.0,,220654.00
05/06/26,UPI-VI PREPAID RECHARGE-VI.RECHARGE@PTYBL-YESB0PTMUPI-834233-UPI,00004065050582792,05/06/26,897.0,,219757.00
06/06/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-930541-UPI,00005162419781444,06/06/26,494.0,,219263.00
07/06/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-678443-UPI,00002519921265064,07/06/26,368.0,,218895.00
07/06/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-853789-UPI,00002299549302273,07/06/26,650.0,,218245.00
08/06/26,UPI-PRAKASH DAS VAISHNAV-9950449735@PTYES-BKID0006682-813145-UPI,00007062420898992,08/06/26,1405.0,,216840.00
09/06/26,UPI-VI PREPAID RECHARGE-VI.RECHARGE@PTYBL-YESB0PTMUPI-235300-UPI,00009845195743849,09/06/26,956.0,,215884.00
12/06/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-843788-UPI,00007086937045938,12/06/26,206.0,,215678.00
12/06/26,UPI-KYBALION NEXUS-7907449178@OKAXIS-UTIB0000011-987025-UPI,00005406975146409,12/06/26,2695.0,,212983.00
12/06/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-417534-UPI,00009839443967107,12/06/26,186.0,,212797.00
13/06/26,UPI-FLIPKART INTERNET-FLIPKART.PAY@ICICI-ICIC0000005-754813-UPI,00006938243854895,13/06/26,1019.0,,211778.00
14/06/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-772612-UPI,00008329671517556,14/06/26,163.0,,211615.00
14/06/26,UPI-AMAZON PAY INDIA-AMAZON.PAY@AXISBANK-UTIB0000004-757629-UPI,00006096174450500,14/06/26,2392.0,,209223.00
14/06/26,UPI-MYNTRA DESIGNS-MYNTRA.PAY@YBL-YESB0PTMUPI-943776-UPI,00006233014320642,14/06/26,2328.0,,206895.00
15/06/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-535810-UPI,00009171107639763,15/06/26,204.0,,206691.00
15/06/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-853258-UPI,00003299519978164,15/06/26,286.0,,206405.00
15/06/26,UPI-CLIENT PAYMENT-FREELANCEWORK@OKICICI-ICIC0000099-897615-UPI,00006613978312411,15/06/26,,11035.0,217440.00
16/06/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-247720-UPI,00001889474033174,16/06/26,269.0,,217171.00
17/06/26,UPI-KYBALION NEXUS-7907449178@OKAXIS-UTIB0000011-267457-UPI,00006763045004679,17/06/26,1313.0,,215858.00
18/06/26,UPI-FLIPKART INTERNET-FLIPKART.PAY@ICICI-ICIC0000005-622469-UPI,00009772328174110,18/06/26,3505.0,,212353.00
18/06/26,UPI-APPLE SERVICES-APPLESERVICES.BDSI@HDFCBANK-HDFC0000009-512344-UPI,00009042349645548,18/06/26,174.0,,212179.00
18/06/26,UPI-SANGITA DANGI-7727864502@YBL-AUBL0002423-151021-UPI,00005948019394380,18/06/26,1792.0,,210387.00
19/06/26,UPI-BIG BASKET-BIGBASKET.EBZ@HDFCBANK-HDFC0000006-108574-UPI,00002893424187870,19/06/26,1500.0,,208887.00
19/06/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-900961-UPI,00007435592972477,19/06/26,386.0,,208501.00
21/06/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-402620-UPI,00007794954078726,21/06/26,312.0,,208189.00
21/06/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-753516-UPI,00003263958054440,21/06/26,427.0,,207762.00
23/06/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-483366-UPI,00003537273255367,23/06/26,314.0,,207448.00
23/06/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-147504-UPI,00003409643787269,23/06/26,385.0,,207063.00
24/06/26,UPI-APPLE SERVICES-APPLESERVICES.BDSI@HDFCBANK-HDFC0000009-640546-UPI,00006768741433307,24/06/26,306.0,,206757.00
25/06/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-875232-UPI,00006264953885332,25/06/26,496.0,,206261.00
25/06/26,UPI-BIG BASKET-BIGBASKET.EBZ@HDFCBANK-HDFC0000006-414353-UPI,00007476882137563,25/06/26,3277.0,,202984.00
25/06/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-712056-UPI,00001470854088473,25/06/26,492.0,,202492.00
26/06/26,UPI-OLA CABS-OLACABS.PAY@ICICI-ICIC0000002-711868-UPI,00003999950684436,26/06/26,383.0,,202109.00
26/06/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-813793-UPI,00001555091007502,26/06/26,142.0,,201967.00
26/06/26,UPI-AMAZON PAY INDIA-AMAZON.PAY@AXISBANK-UTIB0000004-562462-UPI,00008367216211591,26/06/26,1101.0,,200866.00
27/06/26,UPI-OLA CABS-OLACABS.PAY@ICICI-ICIC0000002-912617-UPI,00002098340828707,27/06/26,252.0,,200614.00
28/06/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-601608-UPI,00007629391444906,28/06/26,499.0,,200115.00
29/06/26,UPI-AKASH SEHGAL-A.SEHGAL1300@OKHDFC-HDFC0000010-458955-UPI,00007234343772109,29/06/26,2745.0,,197370.00
30/06/26,UPI-FLIPKART INTERNET-FLIPKART.PAY@ICICI-ICIC0000005-392559-UPI,00006250846999629,30/06/26,4321.0,,193049.00
